task,runner_task,capability,status,additional_task_gain_needed,frontier_source,model_id,role,model_family,architecture,scale,same_shape_group,source_type,merge_role,scenario,materialization_status,source_url,matched_keywords,capability_match_score,candidate_priority_score,average_policy,recommended_probe,acceptance_signal
gsm8k,gsm8k,math_reasoning,no_task_frontier_gain,0.0694444444444443,coder,a-m-team/AM-Thinking-v1,reasoning_rl_expert,AM-Thinking,dense_qwen2,32B,qwen2_dense_32b,third_party_sft_rl,downstream_expert,dense_32b_reasoning_long_reasoning,ready_for_topology_inspect,https://huggingface.co/a-m-team/AM-Thinking-v1,"math,aime,gpqa,reasoning,thinking",1.0,1.36,block_final_average_budget_and_search_or_eval_a_stronger_task_source,"host specialist endpoints, score the same task manifest, then recompute source surplus before changing MoE weights",task_source_frontier_gain_minus_observed_interference_budget_must_be_nonnegative
gsm8k,gsm8k,math_reasoning,no_task_frontier_gain,0.0694444444444443,coder,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,reasoning_distill_expert,DeepSeek-R1-Distill-Qwen,dense_qwen2,32B,qwen2_dense_32b,third_party_distill,downstream_expert,dense_32b_reasoning_long_reasoning,ready_for_topology_inspect,https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,"math,aime,gpqa,reasoning,cot",1.0,1.36,block_final_average_budget_and_search_or_eval_a_stronger_task_source,"host specialist endpoints, score the same task manifest, then recompute source surplus before changing MoE weights",task_source_frontier_gain_minus_observed_interference_budget_must_be_nonnegative
gsm8k,gsm8k,math_reasoning,no_task_frontier_gain,0.0694444444444443,coder,Long1K-32B,long_reasoning_expert,Long1K,dense_qwen2,32B,qwen2_dense_32b,paper_downstream_finetune,optional_downstream_expert,dense_32b_reasoning_long_reasoning,manual_weight_id_resolution_required,https://arxiv.org/abs/2503.18069,"math,gpqa,reasoning,cot",1.0,1.0,block_final_average_budget_and_search_or_eval_a_stronger_task_source,"host specialist endpoints, score the same task manifest, then recompute source surplus before changing MoE weights",task_source_frontier_gain_minus_observed_interference_budget_must_be_nonnegative
gsm8k,gsm8k,math_reasoning,no_task_frontier_gain,0.0694444444444443,coder,Qwen/Qwen2.5-32B-Instruct,general_instruction_anchor,Qwen2.5,dense_qwen2,32B,qwen2_dense_32b,official_posttrained,anchor,dense_32b_reasoning_long_reasoning,ready_for_topology_inspect,https://huggingface.co/Qwen/Qwen2.5-32B-Instruct,reasoning,0.49,0.87,block_final_average_budget_and_search_or_eval_a_stronger_task_source,"host specialist endpoints, score the same task manifest, then recompute source surplus before changing MoE weights",task_source_frontier_gain_minus_observed_interference_budget_must_be_nonnegative
gsm8k,gsm8k,math_reasoning,no_task_frontier_gain,0.0694444444444443,coder,DianJin-R1-32B,domain_finance_expert,DianJin-R1,dense_qwen2,32B,qwen2_dense_32b,paper_downstream_finetune,optional_downstream_expert,dense_32b_domain_extension,manual_weight_id_resolution_required,https://arxiv.org/abs/2504.15716,reasoning,0.61,0.61,block_final_average_budget_and_search_or_eval_a_stronger_task_source,"host specialist endpoints, score the same task manifest, then recompute source surplus before changing MoE weights",task_source_frontier_gain_minus_observed_interference_budget_must_be_nonnegative
gsm8k,gsm8k,math_reasoning,no_task_frontier_gain,0.0694444444444443,coder,Qwen/Qwen2.5-Math-7B-Instruct,math_expert,Qwen2.5-Math,dense_qwen2,7B,qwen2_dense_7b,official_specialist,expert,dense_7b_general_code_math_reasoning,ready_for_topology_inspect,https://huggingface.co/Qwen/Qwen2.5-Math-7B-Instruct,"math,gsm8k,aime,reasoning,cot",1.0,1.38,block_final_average_budget_and_search_or_eval_a_stronger_task_source,"host specialist endpoints, score the same task manifest, then recompute source surplus before changing MoE weights",task_source_frontier_gain_minus_observed_interference_budget_must_be_nonnegative
gsm8k,gsm8k,math_reasoning,no_task_frontier_gain,0.0694444444444443,coder,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,reasoning_distill_expert,DeepSeek-R1-Distill-Qwen,dense_qwen2,7B,qwen2_dense_7b,third_party_distill,downstream_expert,dense_7b_general_code_math_reasoning,ready_for_topology_inspect,https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,"math,gsm8k,gpqa,reasoning,cot",1.0,1.36,block_final_average_budget_and_search_or_eval_a_stronger_task_source,"host specialist endpoints, score the same task manifest, then recompute source surplus before changing MoE weights",task_source_frontier_gain_minus_observed_interference_budget_must_be_nonnegative
gsm8k,gsm8k,math_reasoning,no_task_frontier_gain,0.0694444444444443,coder,Qwen/Qwen2.5-Coder-7B-Instruct,code_expert,Qwen2.5-Coder,dense_qwen2,7B,qwen2_dense_7b,official_specialist,expert,dense_7b_general_code_math_reasoning,ready_for_topology_inspect,https://huggingface.co/Qwen/Qwen2.5-Coder-7B-Instruct,reasoning,0.61,0.99,block_final_average_budget_and_search_or_eval_a_stronger_task_source,"host specialist endpoints, score the same task manifest, then recompute source surplus before changing MoE weights",task_source_frontier_gain_minus_observed_interference_budget_must_be_nonnegative
gsm8k,gsm8k,math_reasoning,no_task_frontier_gain,0.0694444444444443,coder,Qwen/Qwen3-30B-A3B-Thinking-2507,moe_thinking_reasoning_anchor,Qwen3,qwen3_moe,30B-A3B,qwen3_moe_30b_a3b,official_posttrained_moe,expert,measured_qwen3_moe_source_set,ready_for_endpoint_eval,https://huggingface.co/Qwen/Qwen3-30B-A3B-Thinking-2507,"gsm8k,reasoning,thinking",0.8300000000000001,1.31,block_final_average_budget_and_search_or_eval_a_stronger_task_source,"host specialist endpoints, score the same task manifest, then recompute source surplus before changing MoE weights",task_source_frontier_gain_minus_observed_interference_budget_must_be_nonnegative
gsm8k,gsm8k,math_reasoning,no_task_frontier_gain,0.0694444444444443,coder,Qwen/Qwen3-30B-A3B,moe_general_anchor,Qwen3,qwen3_moe,30B-A3B,qwen3_moe_30b_a3b,official_posttrained_moe,anchor,moe_30b_general_code_route_aware,ready_for_topology_inspect,https://huggingface.co/Qwen/Qwen3-30B-A3B,"math,thinking",0.66,1.1400000000000001,block_final_average_budget_and_search_or_eval_a_stronger_task_source,"host specialist endpoints, score the same task manifest, then recompute source surplus before changing MoE weights",task_source_frontier_gain_minus_observed_interference_budget_must_be_nonnegative
