stage,cap_label,method,command,expected_output,purpose
collect_router_cache,shared,shared_cache,PYTHONPATH=scripts python scripts/collect_moe_router_calibration_cache.py --student-model results/checkpoints/qwen3_moe_searched_no_gt065_max_retention_candidate --teacher-model /srv/home/bohanlyu/.cache/huggingface/hub/models--Qwen--Qwen3-Coder-30B-A3B-Instruct/snapshots/b2cff646eb4bb1d68355c01b18ae02e7cf42d120 --tokenizer /srv/home/bohanlyu/.cache/huggingface/hub/models--Qwen--Qwen3-30B-A3B-Instruct-2507/snapshots/0d7cf23991f47feeb3a57ecb4c9cee8ea4a17bfe --prompts prompts/qwen_moe_route_probe_prompts.jsonl --device-map auto --dtype bfloat16 --max-length 768 --top-k 8 --capacity-factor 1.25 --max-samples-per-router 4096 --use-chat-template --local-files-only --output-dir /srv/home/bohanlyu/visualizing-model-merging/results/qwen3_moe_router_calibration_job/cache,results/qwen3_moe_router_calibration_job/cache/router_calibration_cache.pt,Capture student router hidden states and teacher router logits on the shared prompt pack.
prepare_task_manifest,shared,shared_eval_manifest,"python scripts/run_vllm_downstream_eval.py --tasks gsm8k,mmlu,safety,humaneval_compile --example-source datasets --max-examples 64 --task-manifest /srv/home/bohanlyu/visualizing-model-merging/results/qwen3_moe_router_calibration_job/task_manifest.json --create-task-manifest-if-missing --prepare-task-manifest-only",results/qwen3_moe_router_calibration_job/task_manifest.json,"Lock the downstream eval tasks and sample IDs before any source, baseline, or candidate endpoint runs."
vllm_eval_source_control,source,source_qwen3_30b_instruct,"python scripts/run_vllm_downstream_eval.py --base-url http://127.0.0.1:8100/v1 --models candidate_source_qwen3_30b_instruct --tasks gsm8k,mmlu,safety,humaneval_compile --example-source datasets --max-examples 64 --output-dir results/vllm_checkpoint_eval/source_qwen3_30b_instruct --task-manifest /srv/home/bohanlyu/visualizing-model-merging/results/qwen3_moe_router_calibration_job/task_manifest.json --create-task-manifest-if-missing",results/vllm_checkpoint_eval/source_qwen3_30b_instruct,Run a source endpoint control on the same downstream task set.
vllm_eval_source_control,source,source_qwen3_30b_coder,"python scripts/run_vllm_downstream_eval.py --base-url http://127.0.0.1:8101/v1 --models candidate_source_qwen3_30b_coder --tasks gsm8k,mmlu,safety,humaneval_compile --example-source datasets --max-examples 64 --output-dir results/vllm_checkpoint_eval/source_qwen3_30b_coder --task-manifest /srv/home/bohanlyu/visualizing-model-merging/results/qwen3_moe_router_calibration_job/task_manifest.json --create-task-manifest-if-missing",results/vllm_checkpoint_eval/source_qwen3_30b_coder,Run a source endpoint control on the same downstream task set.
vllm_eval_baseline,baseline,qwen3_moe_searched_no_gt065_max_retention_candidate,"python scripts/run_vllm_downstream_eval.py --base-url http://127.0.0.1:8107/v1 --models baseline_qwen3_moe_searched_no_gt065 --tasks gsm8k,mmlu,safety,humaneval_compile --example-source datasets --max-examples 64 --output-dir results/vllm_checkpoint_eval/qwen3_moe_searched_no_gt065_max_retention_candidate --task-manifest /srv/home/bohanlyu/visualizing-model-merging/results/qwen3_moe_router_calibration_job/task_manifest.json --create-task-manifest-if-missing",results/vllm_checkpoint_eval/qwen3_moe_searched_no_gt065_max_retention_candidate,Run the frozen-router searched no-gt-0.65 baseline on the same downstream tasks.
train_router_delta,cap001,qwen3_moe_router_calibrated_searched_no_gt065_cap001_candidate,python scripts/train_moe_router_delta_calibration.py --base results/checkpoints/qwen3_moe_searched_no_gt065_max_retention_candidate --cache results/qwen3_moe_router_calibration_job/cache/router_calibration_cache.pt --output-dir results/qwen3_moe_router_calibration_job/delta_cap001 --epochs 120 --lr 0.05 --temperature 1.0 --top-k 8 --capacity-factor 1.25 --top1-loss-coef 0.25 --capacity-loss-coef 0.1 --trust-l2-coef 0.001 --max-relative-norm 0.01,results/qwen3_moe_router_calibration_job/delta_cap001/router_delta.safetensors,Train same-shape additive router delta under the cap-specific relative norm.
materialize_checkpoint,cap001,qwen3_moe_router_calibrated_searched_no_gt065_cap001_candidate,python scripts/write_same_shape_average_checkpoint.py --base results/checkpoints/qwen3_moe_searched_no_gt065_max_retention_candidate --source same=/srv/home/bohanlyu/visualizing-model-merging/results/checkpoints/qwen3_moe_searched_no_gt065_max_retention_candidate --source-weight same=0.0 --freeze-router --tensor-delta-safetensors results/qwen3_moe_router_calibration_job/delta_cap001/router_delta.safetensors --output-dir results/checkpoints/qwen3_moe_router_calibrated_searched_no_gt065_cap001_candidate,results/checkpoints/qwen3_moe_router_calibrated_searched_no_gt065_cap001_candidate,Apply only the calibrated router delta to the searched no-gt-0.65 student checkpoint.
audit_delta,cap001,qwen3_moe_router_calibrated_searched_no_gt065_cap001_candidate,python scripts/audit_materialized_checkpoint_delta.py --base results/checkpoints/qwen3_moe_searched_no_gt065_max_retention_candidate --candidate results/checkpoints/qwen3_moe_router_calibrated_searched_no_gt065_cap001_candidate --output-dir results/qwen3_moe_router_calibration_job/audit_cap001,results/qwen3_moe_router_calibration_job/audit_cap001,Verify the new checkpoint only moves intended tensors and records delta norms.
vllm_eval,cap001,qwen3_moe_router_calibrated_searched_no_gt065_cap001_candidate,"python scripts/run_vllm_downstream_eval.py --base-url http://127.0.0.1:8108/v1 --models candidate_qwen3_moe_router_calibrated_searched_no_gt065_cap001_candidate --tasks gsm8k,mmlu,safety,humaneval_compile --example-source datasets --max-examples 64 --output-dir results/vllm_checkpoint_eval/qwen3_moe_router_calibrated_searched_no_gt065_cap001_candidate --task-manifest /srv/home/bohanlyu/visualizing-model-merging/results/qwen3_moe_router_calibration_job/task_manifest.json --create-task-manifest-if-missing",results/vllm_checkpoint_eval/qwen3_moe_router_calibrated_searched_no_gt065_cap001_candidate,Run downstream tasks against the router-calibrated ablation candidate.
train_router_delta,cap0025,qwen3_moe_router_calibrated_searched_no_gt065_cap0025_candidate,python scripts/train_moe_router_delta_calibration.py --base results/checkpoints/qwen3_moe_searched_no_gt065_max_retention_candidate --cache results/qwen3_moe_router_calibration_job/cache/router_calibration_cache.pt --output-dir results/qwen3_moe_router_calibration_job/delta_cap0025 --epochs 120 --lr 0.05 --temperature 1.0 --top-k 8 --capacity-factor 1.25 --top1-loss-coef 0.25 --capacity-loss-coef 0.1 --trust-l2-coef 0.001 --max-relative-norm 0.025,results/qwen3_moe_router_calibration_job/delta_cap0025/router_delta.safetensors,Train same-shape additive router delta under the cap-specific relative norm.
