source_set,source_set_key,gate_from_complementarity,optimizer_gate,priority_score,frontier_avg_gain_vs_best_single,frontier_worst_gain_vs_best_single,interference_budget,frontier_avg_surplus_vs_interference,dominant_source,strict_task_winner_count,task_frontier_winners,task_frontier_tied_winners,source_weights,active_source_count,active_source_set_key,source_weight_entropy,best_single_avg_source,best_single_worst_source,best_observed_merge,best_observed_variant,best_observed_avg_gap_to_frontier,candidate_id,router_policy,expert_policy,same_shape_policy,recommended_action
coder+thinking,coder+thinking,complementary_source_set_candidate,probe_only_below_interference_budget,0.6333333333333333,0.0083333333333333,0.0249999999999999,0.0694444444444443,-0.06111111111111099,,2,"{""gsm8k"": ""coder"", ""humaneval"": ""coder"", ""mmlu"": ""thinking""}","{""gsm8k"": [""coder""], ""humaneval"": [""coder""], ""mmlu"": [""thinking""]}","{""coder"": 0.6666666666666666, ""thinking"": 0.3333333333333333}",2,coder+thinking,0.9182958340544894,coder,coder,,,,qwen3_moe_coder_thinking_frontier_weighted_probe,freeze_router_to_best_single_or_anchor_until_router_gate_passes,identity_or_aligned_experts_with_task_frontier_source_weights,preserve config tokenizer model class tensor names tensor shapes expert count and router shape,run_larger_endpoint_eval_and_small_weighted_probe_no_final_acceptance
base+coder+thinking,base+coder+thinking,complementary_source_set_candidate,probe_only_below_interference_budget,0.6333333333333333,0.0083333333333333,0.0249999999999999,0.0694444444444443,-0.06111111111111099,,2,"{""gsm8k"": ""coder"", ""humaneval"": ""coder"", ""mmlu"": ""thinking""}","{""gsm8k"": [""coder""], ""humaneval"": [""coder""], ""mmlu"": [""thinking""]}","{""base"": 0.0, ""coder"": 0.6666666666666666, ""thinking"": 0.3333333333333333}",2,coder+thinking,0.5793801642856949,coder,coder,,,,qwen3_moe_base_coder_thinking_frontier_weighted_probe,freeze_router_to_best_single_or_anchor_until_router_gate_passes,identity_or_aligned_experts_with_task_frontier_source_weights,preserve config tokenizer model class tensor names tensor shapes expert count and router shape,run_larger_endpoint_eval_and_small_weighted_probe_no_final_acceptance; drop_zero_vote_sources_or_keep_as_anchor_only
base+instruct,base+instruct,source_dominated_not_averageable_as_final,reject_source_dominated,0.1,0.0,0.0,0.0694444444444443,-0.0694444444444443,instruct,1,"{""gsm8k"": ""instruct"", ""humaneval"": ""instruct"", ""mmlu"": ""instruct""}","{""gsm8k"": [""instruct""], ""humaneval"": [""instruct""], ""mmlu"": [""instruct""]}","{""base"": 0.0, ""instruct"": 1.0}",1,instruct,0.0,instruct,instruct,,,,qwen3_moe_base_instruct_frontier_weighted_probe,freeze_router_to_best_single_or_anchor_until_router_gate_passes,identity_or_aligned_experts_with_task_frontier_source_weights,preserve config tokenizer model class tensor names tensor shapes expert count and router shape,do_not_materialize_except_negative_control; drop_zero_vote_sources_or_keep_as_anchor_only
base+coder,base+coder,source_dominated_not_averageable_as_final,reject_source_dominated,0.1,0.0,0.0,0.0694444444444443,-0.0694444444444443,coder,1,"{""gsm8k"": ""coder"", ""humaneval"": ""coder"", ""mmlu"": ""tie:base+coder""}","{""gsm8k"": [""coder""], ""humaneval"": [""coder""], ""mmlu"": [""base"", ""coder""]}","{""base"": 0.16666666666666666, ""coder"": 0.8333333333333334}",2,base+coder,0.6500224216483541,coder,coder,,,,qwen3_moe_base_coder_frontier_weighted_probe,freeze_router_to_best_single_or_anchor_until_router_gate_passes,identity_or_aligned_experts_with_task_frontier_source_weights,preserve config tokenizer model class tensor names tensor shapes expert count and router shape,do_not_materialize_except_negative_control
base+thinking,base+thinking,source_dominated_not_averageable_as_final,reject_source_dominated,0.1,0.0,0.0,0.0694444444444443,-0.0694444444444443,thinking,1,"{""gsm8k"": ""thinking"", ""humaneval"": ""thinking"", ""mmlu"": ""thinking""}","{""gsm8k"": [""thinking""], ""humaneval"": [""thinking""], ""mmlu"": [""thinking""]}","{""base"": 0.0, ""thinking"": 1.0}",1,thinking,0.0,thinking,thinking,,,,qwen3_moe_base_thinking_frontier_weighted_probe,freeze_router_to_best_single_or_anchor_until_router_gate_passes,identity_or_aligned_experts_with_task_frontier_source_weights,preserve config tokenizer model class tensor names tensor shapes expert count and router shape,do_not_materialize_except_negative_control; drop_zero_vote_sources_or_keep_as_anchor_only
instruct+thinking,instruct+thinking,source_dominated_not_averageable_as_final,reject_source_dominated,0.1,0.0,0.0,0.0694444444444443,-0.0694444444444443,instruct,1,"{""gsm8k"": ""instruct"", ""humaneval"": ""instruct"", ""mmlu"": ""instruct""}","{""gsm8k"": [""instruct""], ""humaneval"": [""instruct""], ""mmlu"": [""instruct""]}","{""instruct"": 1.0, ""thinking"": 0.0}",1,instruct,0.0,instruct,instruct,,,,qwen3_moe_instruct_thinking_frontier_weighted_probe,freeze_router_to_best_single_or_anchor_until_router_gate_passes,identity_or_aligned_experts_with_task_frontier_source_weights,preserve config tokenizer model class tensor names tensor shapes expert count and router shape,do_not_materialize_except_negative_control; drop_zero_vote_sources_or_keep_as_anchor_only
base+instruct+coder,base+coder+instruct,source_dominated_not_averageable_as_final,reject_source_dominated,0.1,0.0,0.0,0.0694444444444443,-0.0694444444444443,instruct,1,"{""gsm8k"": ""tie:instruct+coder"", ""humaneval"": ""tie:instruct+coder"", ""mmlu"": ""instruct""}","{""gsm8k"": [""instruct"", ""coder""], ""humaneval"": [""instruct"", ""coder""], ""mmlu"": [""instruct""]}","{""base"": 0.0, ""coder"": 0.3333333333333333, ""instruct"": 0.6666666666666666}",2,coder+instruct,0.5793801642856949,instruct,instruct,,,,qwen3_moe_base_coder_instruct_frontier_weighted_probe,freeze_router_to_best_single_or_anchor_until_router_gate_passes,identity_or_aligned_experts_with_task_frontier_source_weights,preserve config tokenizer model class tensor names tensor shapes expert count and router shape,do_not_materialize_except_negative_control; drop_zero_vote_sources_or_keep_as_anchor_only
base+instruct+thinking,base+instruct+thinking,source_dominated_not_averageable_as_final,reject_source_dominated,0.1,0.0,0.0,0.0694444444444443,-0.0694444444444443,instruct,1,"{""gsm8k"": ""instruct"", ""humaneval"": ""instruct"", ""mmlu"": ""instruct""}","{""gsm8k"": [""instruct""], ""humaneval"": [""instruct""], ""mmlu"": [""instruct""]}","{""base"": 0.0, ""instruct"": 1.0, ""thinking"": 0.0}",1,instruct,0.0,instruct,instruct,,,,qwen3_moe_base_instruct_thinking_frontier_weighted_probe,freeze_router_to_best_single_or_anchor_until_router_gate_passes,identity_or_aligned_experts_with_task_frontier_source_weights,preserve config tokenizer model class tensor names tensor shapes expert count and router shape,do_not_materialize_except_negative_control; drop_zero_vote_sources_or_keep_as_anchor_only
base+instruct+coder+thinking,base+coder+instruct+thinking,source_dominated_not_averageable_as_final,reject_source_dominated,0.1,0.0,0.0,0.0694444444444443,-0.0694444444444443,instruct,1,"{""gsm8k"": ""tie:instruct+coder"", ""humaneval"": ""tie:instruct+coder"", ""mmlu"": ""instruct""}","{""gsm8k"": [""instruct"", ""coder""], ""humaneval"": [""instruct"", ""coder""], ""mmlu"": [""instruct""]}","{""base"": 0.0, ""coder"": 0.3333333333333333, ""instruct"": 0.6666666666666666, ""thinking"": 0.0}",2,coder+instruct,0.4591479170272447,instruct,instruct,,,,qwen3_moe_base_coder_instruct_thinking_frontier_weighted_probe,freeze_router_to_best_single_or_anchor_until_router_gate_passes,identity_or_aligned_experts_with_task_frontier_source_weights,preserve config tokenizer model class tensor names tensor shapes expert count and router shape,do_not_materialize_except_negative_control; drop_zero_vote_sources_or_keep_as_anchor_only
instruct+coder+thinking,coder+instruct+thinking,source_dominated_not_averageable_as_final,reject_source_dominated,0.0361111111111113,0.0,0.0,0.0694444444444443,-0.0694444444444443,instruct,1,"{""gsm8k"": ""tie:instruct+coder"", ""humaneval"": ""tie:instruct+coder"", ""mmlu"": ""instruct""}","{""gsm8k"": [""instruct"", ""coder""], ""humaneval"": [""instruct"", ""coder""], ""mmlu"": [""instruct""]}","{""coder"": 0.3333333333333333, ""instruct"": 0.6666666666666666, ""thinking"": 0.0}",2,coder+instruct,0.5793801642856949,instruct,instruct,merge_instruct+coder+thinking,naive_average,-0.0638888888888887,qwen3_moe_coder_instruct_thinking_frontier_weighted_probe,freeze_router_to_best_single_or_anchor_until_router_gate_passes,identity_or_aligned_experts_with_task_frontier_source_weights,preserve config tokenizer model class tensor names tensor shapes expert count and router shape,do_not_materialize_except_negative_control; drop_zero_vote_sources_or_keep_as_anchor_only
instruct+coder,coder+instruct,source_dominated_not_averageable_as_final,reject_source_dominated,0.03055555555555571,0.0,0.0,0.0694444444444443,-0.0694444444444443,instruct,1,"{""gsm8k"": ""tie:instruct+coder"", ""humaneval"": ""tie:instruct+coder"", ""mmlu"": ""instruct""}","{""gsm8k"": [""instruct"", ""coder""], ""humaneval"": [""instruct"", ""coder""], ""mmlu"": [""instruct""]}","{""coder"": 0.3333333333333333, ""instruct"": 0.6666666666666666}",2,coder+instruct,0.9182958340544894,instruct,instruct,merge_instruct+coder_routercal,router_calibrated,-0.0694444444444443,qwen3_moe_coder_instruct_frontier_weighted_probe,freeze_router_to_best_single_or_anchor_until_router_gate_passes,identity_or_aligned_experts_with_task_frontier_source_weights,preserve config tokenizer model class tensor names tensor shapes expert count and router shape,do_not_materialize_except_negative_control
