stage,operation,condition,selected_action,why_it_should_improve,same_shape_invariant
dense_connectivity_gate,do_not_use_linear_midpoint_by_default,actual Fisher-prediction error ratio is far above local-quadratic range,"search base-anchored coefficient family; current config = {""density"": 1.0, ""importance"": ""uniform"", ""lam"": 0.0, ""router"": ""average"", ""sign_resolve"": true}",It prevents a fixed 0.5 midpoint from crossing a measured high-loss barrier.,"same tokenizer, model class, tensor names, and tensor shapes"
dense_sparse_coordinate_gate,make TIES/DARE-style sparsity conditional,coordinate conflict rules must beat the anchor on held-out worst-task loss,only materialize sparse conflict rules when held-out and vLLM gates pass,It keeps sign-conflict probes as diagnostics without letting them delete useful dense capacity.,same dense architecture; only values change
moe_expert_identity_gate,canonicalize expert gauge before averaging,MoE expert/router row permutation is function preserving but breaks same-name average,run layer-wise expert alignment; for Qwen3 Instruct/Coder the mapping is currently identity,It removes a discrete symmetry error before any continuous weight interpolation is attempted.,expert count and router shape are unchanged; only source tensor aliases are remapped
moe_router_gate,freeze direct router movement,no Qwen3 router layer passes the all-category movement guard,freeze_router,It avoids averaging a discrete top-k dispatch boundary that has high measured source disagreement.,router tensor shape is unchanged; optional route-KD writes a capped same-shape delta
moe_router_margin_cap_gate,bound router movement by observed top-k margins,"router interpolation can change a token's expert assignment when the router-logit movement exceeds that token's top-k margin; current min safe-lambda proxy is 0.0197, with 24/48 high-fragility layers",freeze_router; direct router average rejected by router_margin_fragility_rejects_direct_router_average,It prevents a small weight-space router step from crossing a discrete dispatch boundary and sending tokens to untrained expert combinations.,"router tensors remain same-shape; any later route-KD delta must pass the same margin, load, and downstream gates"
moe_router_coupled_shrink_gate,keep router-boundary fragility inside B/H/I instead of direct extra shrink,"a fine router-coupled shrink frontier found 146/770 candidates that pass hard cap and retention, but the best retention-safe direct shrink gives only 0.0103 of the aggressive ablation proxy effect",keep_router_fragility_inside_BHI_and_keep_direct_extra_shrink_as_ablation; constrained=router_q0.85_s0.00020_cap0.00010 coupled_reduction=0.00001165; stress=router_q0.75_s0.01000_cap0.01000 coupled_reduction=0.001135,It avoids spending retention budget on a direct router-boundary term whose safe version is too weak; the same signal stays useful as an interference feature inside the expert scale objective.,direct-shrink ablations still use same-shape expert tensor rules; the default algorithm does not add another tensor movement term
moe_straight_line_connectivity_gate,reject_unconditional_source_to_source_linear_interpolation,"Qwen3 Instruct/Coder best interior worst-NLL is above the best endpoint by 0.1189, and the complementary Thinking/Coder path does not beat its best source (avg gap 0.0000); the Base/Coder line also keeps the best interior above the best endpoint by 0.1058",use route/evidence/geometry-constrained same-shape candidates instead of a source-to-source midpoint,It treats model connectivity as measured evidence: a smooth-looking line is not accepted unless an interior point beats the source frontier.,candidate generation still writes the same tensor names and shapes; the gate only decides whether straight-line interpolation is allowed
moe_source_set_complementarity_gate,require source-set complementarity before expecting average to beat sources,current source set instruct+coder has gate source_dominated_not_averageable_as_final; dominant source instruct; frontier avg gain 0.0000; best observed merge gap -0.0694,do_not_expect_average_to_beat_current_source_frontier; use average only as repair_ablation_until_new_complementary_sources_pass_endpoint_eval,It avoids spending algorithmic effort trying to make an average beat a source set whose measured frontier is already a single dominant endpoint.,this gate changes source-set selection and evaluation priority only; any accepted output remains one same-shape checkpoint
moe_source_set_surplus_gate,require complementarity surplus to cover observed merge interference,"best measured complementary set coder+thinking has frontier avg gain 0.0083, but observed merge interference budget is 0.0694; surplus -0.0611; task surplus-positive 0/3; no-gain tasks 2/3; blockers mmlu,gsm8k,humaneval","probe_only_below_interference_budget: run_larger_endpoint_eval_and_small_weighted_probe_no_final_acceptance; source_weights={""coder"": 0.6666666666666666, ""thinking"": 0.3333333333333333}",It prevents a weakly complementary source set from being promoted to final-average budget when measured average interference is larger than the available task-frontier gain.,the gate only changes source discovery and eval priority; any probe candidate still keeps one same-shape checkpoint
moe_source_frontier_vllm_feedback_gate,feed completed vLLM source-frontier results back into average-budget decisions,feedback status awaiting_vllm_source_frontier_results; scored 0/4; final candidates 0; top job None gate None surplus n/a,"Run the planned vLLM source-frontier eval jobs, then rerun this feedback builder.",It closes the loop from hosted endpoint evaluation to the same average acceptance equation instead of relying on static proxy matrices.,this gate changes only which source set receives average materialization budget; accepted candidates still preserve the input architecture
moe_expert_delta_optimizer,apply retention-constrained router/evidence/geometry/subspace caps,"expert identity is aligned, direct router movement is rejected, and real expert geometry/subspace probes expose nonuniform risk",subspace_cap_s1.00 with hard cap 0.6500; subspace-weighted rel-delta = 0.2148; materialized rule status = fresh; layer/chunk->unified routed >0.65 reduction = 89; mechanistic->subspace norm delta = 0.001304,It keeps useful Coder-route mass while shrinking high-risk routed expert deltas and local subspace conflicts instead of using one global coefficient.,"only routed expert tensor values change; router, attention, embeddings, norms, names, and shapes stay fixed"
