candidate,source_kind,source_path,loadability,writer_command,writer_output_dir,writer_output_exists,dry_run_only,placeholder_count,placeholders,writer_status,next_writer_action,vllm_plan_status,vllm_eval_output_dir,vllm_eval_command,vllm_eval_status,vllm_eval_examples_per_task,vllm_eval_avg_primary_score,vllm_eval_worst_primary_score,end_to_end_status
qwen3_moe_unified_route_guarded_candidate,writer_command,results/qwen3_moe_unified_route_guarded_candidate/writer_command.txt,qwen_moe_if_materialized,python scripts/write_same_shape_average_checkpoint.py --base /srv/home/bohanlyu/.cache/huggingface/hub/models--Qwen--Qwen3-30B-A3B-Instruct-2507/snapshots/0d7cf23991f47feeb3a57ecb4c9cee8ea4a17bfe --source instruct=/srv/home/bohanlyu/.cache/huggingface/hub/models--Qwen--Qwen3-30B-A3B-Instruct-2507/snapshots/0d7cf23991f47feeb3a57ecb4c9cee8ea4a17bfe --source coder=/srv/home/bohanlyu/.cache/huggingface/hub/models--Qwen--Qwen3-Coder-30B-A3B-Instruct/snapshots/b2cff646eb4bb1d68355c01b18ae02e7cf42d120 --source-weight instruct=0.0 --source-weight coder=0.0 --freeze-router --tensor-rule-file results/qwen3_moe_unified_route_guarded_candidate/tensor_rules.txt --output-dir results/checkpoints/qwen3_moe_unified_route_guarded_candidate --dry-run,results/checkpoints/qwen3_moe_unified_route_guarded_candidate,True,True,0,,materialized_checkpoint_exists,host the vLLM plan checkpoint and run downstream eval,ready_to_host,results/vllm_checkpoint_eval/qwen3_moe_unified_route_guarded_candidate,"python scripts/run_vllm_downstream_eval.py --base-url http://127.0.0.1:8102/v1 --models candidate_qwen3_moe_unified_route_guarded_candidate --tasks gsm8k,mmlu,safety,humaneval_compile --example-source datasets --max-examples 64 --output-dir results/vllm_checkpoint_eval/qwen3_moe_unified_route_guarded_candidate",not_run,,,,ready_for_vllm_eval
qwen3_moe_audit_gated_candidate,writer_command,results/qwen3_moe_audit_gated_candidate/writer_command.txt,qwen_moe_if_materialized,python scripts/write_same_shape_average_checkpoint.py --base /srv/home/bohanlyu/.cache/huggingface/hub/models--Qwen--Qwen3-30B-A3B-Instruct-2507/snapshots/0d7cf23991f47feeb3a57ecb4c9cee8ea4a17bfe --source coder=/srv/home/bohanlyu/.cache/huggingface/hub/models--Qwen--Qwen3-Coder-30B-A3B-Instruct/snapshots/b2cff646eb4bb1d68355c01b18ae02e7cf42d120 --source instruct=/srv/home/bohanlyu/.cache/huggingface/hub/models--Qwen--Qwen3-30B-A3B-Instruct-2507/snapshots/0d7cf23991f47feeb3a57ecb4c9cee8ea4a17bfe --source-weight coder=0.0 --source-weight instruct=0.0 --freeze-router --tensor-rule-file results/qwen3_moe_audit_gated_candidate/tensor_rules.txt --output-dir results/checkpoints/qwen3_moe_audit_gated_candidate --dry-run,results/checkpoints/qwen3_moe_audit_gated_candidate,True,True,0,,materialized_checkpoint_exists,host the vLLM plan checkpoint and run downstream eval,ready_to_host,results/vllm_checkpoint_eval/qwen3_moe_audit_gated_candidate,"python scripts/run_vllm_downstream_eval.py --base-url http://127.0.0.1:8103/v1 --models candidate_qwen3_moe_audit_gated_candidate --tasks gsm8k,mmlu,safety,humaneval_compile --example-source datasets --max-examples 64 --output-dir results/vllm_checkpoint_eval/qwen3_moe_audit_gated_candidate",not_run,,,,ready_for_vllm_eval
qwen3_moe_trust_region_candidate,writer_command,results/qwen3_moe_trust_region_candidate/writer_command.txt,qwen_moe_if_materialized,python scripts/write_same_shape_average_checkpoint.py --base /srv/home/bohanlyu/.cache/huggingface/hub/models--Qwen--Qwen3-30B-A3B-Instruct-2507/snapshots/0d7cf23991f47feeb3a57ecb4c9cee8ea4a17bfe --source coder=/srv/home/bohanlyu/.cache/huggingface/hub/models--Qwen--Qwen3-Coder-30B-A3B-Instruct/snapshots/b2cff646eb4bb1d68355c01b18ae02e7cf42d120 --source instruct=/srv/home/bohanlyu/.cache/huggingface/hub/models--Qwen--Qwen3-30B-A3B-Instruct-2507/snapshots/0d7cf23991f47feeb3a57ecb4c9cee8ea4a17bfe --source-weight coder=0.0 --source-weight instruct=0.0 --freeze-router --tensor-rule-file results/qwen3_moe_trust_region_candidate/tensor_rules.txt --output-dir results/checkpoints/qwen3_moe_trust_region_candidate,results/checkpoints/qwen3_moe_trust_region_candidate,True,False,0,,materialized_checkpoint_exists,host the vLLM plan checkpoint and run downstream eval,ready_to_host,results/vllm_checkpoint_eval/qwen3_moe_trust_region_candidate,"python scripts/run_vllm_downstream_eval.py --base-url http://127.0.0.1:8104/v1 --models candidate_qwen3_moe_trust_region_candidate --tasks gsm8k,mmlu,safety,humaneval_compile --example-source datasets --max-examples 64 --output-dir results/vllm_checkpoint_eval/qwen3_moe_trust_region_candidate",not_run,,,,ready_for_vllm_eval
qwen3_moe_expert_only_trust_region_candidate,writer_command,results/qwen3_moe_expert_only_trust_region_candidate/writer_command.txt,qwen_moe_if_materialized,python scripts/write_same_shape_average_checkpoint.py --base /srv/home/bohanlyu/.cache/huggingface/hub/models--Qwen--Qwen3-30B-A3B-Instruct-2507/snapshots/0d7cf23991f47feeb3a57ecb4c9cee8ea4a17bfe --source coder=/srv/home/bohanlyu/.cache/huggingface/hub/models--Qwen--Qwen3-Coder-30B-A3B-Instruct/snapshots/b2cff646eb4bb1d68355c01b18ae02e7cf42d120 --source instruct=/srv/home/bohanlyu/.cache/huggingface/hub/models--Qwen--Qwen3-30B-A3B-Instruct-2507/snapshots/0d7cf23991f47feeb3a57ecb4c9cee8ea4a17bfe --source-weight coder=0.0 --source-weight instruct=0.0 --freeze-router --tensor-rule-file results/qwen3_moe_expert_only_trust_region_candidate/tensor_rules.txt --output-dir results/checkpoints/qwen3_moe_expert_only_trust_region_candidate,results/checkpoints/qwen3_moe_expert_only_trust_region_candidate,True,False,0,,materialized_checkpoint_exists,host the vLLM plan checkpoint and run downstream eval,ready_to_host,results/vllm_checkpoint_eval/qwen3_moe_expert_only_trust_region_candidate,"python scripts/run_vllm_downstream_eval.py --base-url http://127.0.0.1:8105/v1 --models candidate_qwen3_moe_expert_only_trust_region_candidate --tasks gsm8k,mmlu,safety,humaneval_compile --example-source datasets --max-examples 64 --output-dir results/vllm_checkpoint_eval/qwen3_moe_expert_only_trust_region_candidate",not_run,,,,ready_for_vllm_eval
qwen3_moe_tail_trimmed_expert_only_candidate,writer_command,results/qwen3_moe_tail_trimmed_expert_only_candidate/writer_command.txt,qwen_moe_if_materialized,python scripts/write_same_shape_average_checkpoint.py --base /srv/home/bohanlyu/.cache/huggingface/hub/models--Qwen--Qwen3-30B-A3B-Instruct-2507/snapshots/0d7cf23991f47feeb3a57ecb4c9cee8ea4a17bfe --source coder=/srv/home/bohanlyu/.cache/huggingface/hub/models--Qwen--Qwen3-Coder-30B-A3B-Instruct/snapshots/b2cff646eb4bb1d68355c01b18ae02e7cf42d120 --source instruct=/srv/home/bohanlyu/.cache/huggingface/hub/models--Qwen--Qwen3-30B-A3B-Instruct-2507/snapshots/0d7cf23991f47feeb3a57ecb4c9cee8ea4a17bfe --source-weight coder=0.0 --source-weight instruct=0.0 --freeze-router --tensor-rule-file results/qwen3_moe_tail_trimmed_expert_only_candidate/tensor_rules.txt --output-dir results/checkpoints/qwen3_moe_tail_trimmed_expert_only_candidate,results/checkpoints/qwen3_moe_tail_trimmed_expert_only_candidate,True,False,0,,materialized_checkpoint_exists,host the vLLM plan checkpoint and run downstream eval,ready_to_host,results/vllm_checkpoint_eval/qwen3_moe_tail_trimmed_expert_only_candidate,"python scripts/run_vllm_downstream_eval.py --base-url http://127.0.0.1:8106/v1 --models candidate_qwen3_moe_tail_trimmed_expert_only_candidate --tasks gsm8k,mmlu,safety,humaneval_compile --example-source datasets --max-examples 64 --output-dir results/vllm_checkpoint_eval/qwen3_moe_tail_trimmed_expert_only_candidate",not_run,,,,ready_for_vllm_eval
qwen3_moe_searched_no_gt065_max_retention_candidate,writer_command,results/qwen3_moe_trust_region_cap_search/searched_no_gt065_max_retention_writer_command.txt,qwen_moe_if_materialized,python scripts/write_same_shape_average_checkpoint.py --base /srv/home/bohanlyu/.cache/huggingface/hub/models--Qwen--Qwen3-30B-A3B-Instruct-2507/snapshots/0d7cf23991f47feeb3a57ecb4c9cee8ea4a17bfe --source instruct=/srv/home/bohanlyu/.cache/huggingface/hub/models--Qwen--Qwen3-30B-A3B-Instruct-2507/snapshots/0d7cf23991f47feeb3a57ecb4c9cee8ea4a17bfe --source coder=/srv/home/bohanlyu/.cache/huggingface/hub/models--Qwen--Qwen3-Coder-30B-A3B-Instruct/snapshots/b2cff646eb4bb1d68355c01b18ae02e7cf42d120 --source-weight instruct=0.0 --source-weight coder=0.0 --freeze-router --tensor-rule-file results/qwen3_moe_trust_region_cap_search/searched_no_gt065_max_retention_tensor_rules.txt --output-dir results/checkpoints/qwen3_moe_searched_no_gt065_max_retention_candidate,results/checkpoints/qwen3_moe_searched_no_gt065_max_retention_candidate,True,False,0,,materialized_checkpoint_exists,host the vLLM plan checkpoint and run downstream eval,ready_to_host,results/vllm_checkpoint_eval/qwen3_moe_searched_no_gt065_max_retention_candidate,"python scripts/run_vllm_downstream_eval.py --base-url http://127.0.0.1:8107/v1 --models candidate_qwen3_moe_searched_no_gt065_max_retention_candidate --tasks gsm8k,mmlu,safety,humaneval_compile --example-source datasets --max-examples 64 --output-dir results/vllm_checkpoint_eval/qwen3_moe_searched_no_gt065_max_retention_candidate",not_run,,,,ready_for_vllm_eval
qwen3_moe_layer_chunk_candidate,writer_command,results/qwen3_moe_layer_chunk_candidate/writer_command.txt,qwen_moe_if_materialized,python scripts/write_same_shape_average_checkpoint.py --base /srv/home/bohanlyu/.cache/huggingface/hub/models--Qwen--Qwen3-30B-A3B-Instruct-2507/snapshots/0d7cf23991f47feeb3a57ecb4c9cee8ea4a17bfe --source instruct=/srv/home/bohanlyu/.cache/huggingface/hub/models--Qwen--Qwen3-30B-A3B-Instruct-2507/snapshots/0d7cf23991f47feeb3a57ecb4c9cee8ea4a17bfe --source coder=/srv/home/bohanlyu/.cache/huggingface/hub/models--Qwen--Qwen3-Coder-30B-A3B-Instruct/snapshots/b2cff646eb4bb1d68355c01b18ae02e7cf42d120 --source-weight instruct=0.0 --source-weight coder=0.0 --freeze-router --tensor-rule-file results/qwen3_moe_layer_chunk_candidate/tensor_rules.txt --output-dir results/checkpoints/qwen3_moe_layer_chunk_candidate,results/checkpoints/qwen3_moe_layer_chunk_candidate,True,False,0,,materialized_checkpoint_exists,host_with_vllm_and_run_downstream_eval,not_in_vllm_plan,,,not_run,,,,ready_for_vllm_eval
qwen3_moe_unified_mechanism_candidate,writer_command,results/qwen3_moe_unified_mechanism_candidate/writer_command.txt,qwen_moe_if_materialized,python scripts/write_same_shape_average_checkpoint.py --base /srv/home/bohanlyu/.cache/huggingface/hub/models--Qwen--Qwen3-30B-A3B-Instruct-2507/snapshots/0d7cf23991f47feeb3a57ecb4c9cee8ea4a17bfe --source instruct=/srv/home/bohanlyu/.cache/huggingface/hub/models--Qwen--Qwen3-30B-A3B-Instruct-2507/snapshots/0d7cf23991f47feeb3a57ecb4c9cee8ea4a17bfe --source coder=/srv/home/bohanlyu/.cache/huggingface/hub/models--Qwen--Qwen3-Coder-30B-A3B-Instruct/snapshots/b2cff646eb4bb1d68355c01b18ae02e7cf42d120 --source-weight instruct=0.0 --source-weight coder=0.0 --freeze-router --tensor-rule-file results/qwen3_moe_unified_mechanism_candidate/tensor_rules.txt --output-dir results/checkpoints/qwen3_moe_unified_mechanism_candidate,results/checkpoints/qwen3_moe_unified_mechanism_candidate,False,False,0,,materialization_command_ready,host the vLLM plan checkpoint and run downstream eval,ready_to_host,results/vllm_checkpoint_eval/qwen3_moe_unified_mechanism_candidate,"python scripts/run_vllm_downstream_eval.py --base-url http://127.0.0.1:8108/v1 --models candidate_qwen3_moe_unified_mechanism_candidate --tasks gsm8k,mmlu,safety,humaneval_compile --example-source datasets --max-examples 64 --output-dir results/vllm_checkpoint_eval/qwen3_moe_unified_mechanism_candidate",not_run,,,,ready_for_vllm_eval
moe_route_aware_candidate,writer_command,results/moe_route_weight_recipes/writer_command.txt,qwen_moe_if_materialized,python scripts/write_same_shape_average_checkpoint.py --base MOE_BASE_OR_ANCHOR_PATH --source general=GENERAL_MODEL_PATH --source code=CODE_MODEL_PATH --source-weight general=0.0 --source-weight code=0.0 --freeze-router --tensor-rule-file results/moe_route_weight_recipes/tensor_rules.txt --output-dir results/checkpoints/moe_route_aware_candidate --dry-run,results/checkpoints/moe_route_aware_candidate,False,True,3,"CODE_MODEL_PATH,GENERAL_MODEL_PATH,MOE_BASE_OR_ANCHOR_PATH",blocked_by_placeholder_inputs,"replace placeholder model paths/route weights, run writer dry-run, then materialize",checkpoint_missing_until_materialized,results/vllm_checkpoint_eval/moe_route_aware_candidate,"python scripts/run_vllm_downstream_eval.py --base-url http://127.0.0.1:8110/v1 --models candidate_moe_route_aware_candidate --tasks gsm8k,mmlu,safety,humaneval_compile --example-source datasets --max-examples 64 --output-dir results/vllm_checkpoint_eval/moe_route_aware_candidate",not_run,,,,blocked_before_materialization
toy_moe_expert_weight_candidate,writer_command,results/toy_moe_expert_weight_recipes/writer_command.txt,not_vllm_loadable_toy,python scripts/write_same_shape_average_checkpoint.py --base MOE_BASE_OR_ANCHOR_PATH --source general=GENERAL_MODEL_PATH --source code=CODE_MODEL_PATH --source-weight general=0.0 --source-weight code=0.0 --freeze-router --tensor-rule-file results/toy_moe_expert_weight_recipes/tensor_rules.txt --output-dir results/checkpoints/toy_moe_expert_weight_candidate --dry-run,results/checkpoints/toy_moe_expert_weight_candidate,False,True,3,"CODE_MODEL_PATH,GENERAL_MODEL_PATH,MOE_BASE_OR_ANCHOR_PATH",blocked_by_placeholder_inputs,"replace placeholder model paths/route weights, run writer dry-run, then materialize",not_vllm_loadable_toy_candidate,results/vllm_checkpoint_eval/toy_moe_expert_weight_candidate,"python scripts/run_vllm_downstream_eval.py --base-url http://127.0.0.1:8112/v1 --models candidate_toy_moe_expert_weight_candidate --tasks gsm8k,mmlu,safety,humaneval_compile --example-source datasets --max-examples 64 --output-dir results/vllm_checkpoint_eval/toy_moe_expert_weight_candidate",not_run,,,,toy_writer_validation_only
