job_id,scenario_id,rank,served_model,endpoint_model_list_available,present_on_endpoint,tasks,task_manifest,smoke_task_manifest,output_dir
measured_coder_thinking_source_frontier,measured_qwen3_moe_source_set,1,Qwen/Qwen3-Coder-30B-A3B-Instruct,False,False,"mmlu,gsm8k,humaneval_compile",results/qwen_source_discovery_eval_plan/task_manifests/measured_coder_thinking_source_frontier_task_manifest.json,results/qwen_source_discovery_eval_plan/task_manifests/measured_coder_thinking_source_frontier_smoke_task_manifest.json,results/qwen_source_discovery_eval_plan/vllm_eval/measured_coder_thinking_source_frontier
measured_coder_thinking_source_frontier,measured_qwen3_moe_source_set,1,Qwen/Qwen3-30B-A3B-Thinking-2507,False,False,"mmlu,gsm8k,humaneval_compile",results/qwen_source_discovery_eval_plan/task_manifests/measured_coder_thinking_source_frontier_task_manifest.json,results/qwen_source_discovery_eval_plan/task_manifests/measured_coder_thinking_source_frontier_smoke_task_manifest.json,results/qwen_source_discovery_eval_plan/vllm_eval/measured_coder_thinking_source_frontier
dense_7b_general_code_math_reasoning,dense_7b_general_code_math_reasoning,2,Qwen/Qwen2.5-7B-Instruct,False,False,"mmlu,gsm8k,humaneval_compile,safety",results/qwen_source_discovery_eval_plan/task_manifests/dense_7b_general_code_math_reasoning_task_manifest.json,results/qwen_source_discovery_eval_plan/task_manifests/dense_7b_general_code_math_reasoning_smoke_task_manifest.json,results/qwen_source_discovery_eval_plan/vllm_eval/dense_7b_general_code_math_reasoning
dense_7b_general_code_math_reasoning,dense_7b_general_code_math_reasoning,2,Qwen/Qwen2.5-Coder-7B-Instruct,False,False,"mmlu,gsm8k,humaneval_compile,safety",results/qwen_source_discovery_eval_plan/task_manifests/dense_7b_general_code_math_reasoning_task_manifest.json,results/qwen_source_discovery_eval_plan/task_manifests/dense_7b_general_code_math_reasoning_smoke_task_manifest.json,results/qwen_source_discovery_eval_plan/vllm_eval/dense_7b_general_code_math_reasoning
dense_7b_general_code_math_reasoning,dense_7b_general_code_math_reasoning,2,Qwen/Qwen2.5-Math-7B-Instruct,False,False,"mmlu,gsm8k,humaneval_compile,safety",results/qwen_source_discovery_eval_plan/task_manifests/dense_7b_general_code_math_reasoning_task_manifest.json,results/qwen_source_discovery_eval_plan/task_manifests/dense_7b_general_code_math_reasoning_smoke_task_manifest.json,results/qwen_source_discovery_eval_plan/vllm_eval/dense_7b_general_code_math_reasoning
dense_7b_general_code_math_reasoning,dense_7b_general_code_math_reasoning,2,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,False,False,"mmlu,gsm8k,humaneval_compile,safety",results/qwen_source_discovery_eval_plan/task_manifests/dense_7b_general_code_math_reasoning_task_manifest.json,results/qwen_source_discovery_eval_plan/task_manifests/dense_7b_general_code_math_reasoning_smoke_task_manifest.json,results/qwen_source_discovery_eval_plan/vllm_eval/dense_7b_general_code_math_reasoning
moe_30b_general_code_route_aware,moe_30b_general_code_route_aware,3,Qwen/Qwen3-30B-A3B-Base,False,False,"mmlu,gsm8k,humaneval_compile,safety",results/qwen_source_discovery_eval_plan/task_manifests/moe_30b_general_code_route_aware_task_manifest.json,results/qwen_source_discovery_eval_plan/task_manifests/moe_30b_general_code_route_aware_smoke_task_manifest.json,results/qwen_source_discovery_eval_plan/vllm_eval/moe_30b_general_code_route_aware
moe_30b_general_code_route_aware,moe_30b_general_code_route_aware,3,Qwen/Qwen3-30B-A3B,False,False,"mmlu,gsm8k,humaneval_compile,safety",results/qwen_source_discovery_eval_plan/task_manifests/moe_30b_general_code_route_aware_task_manifest.json,results/qwen_source_discovery_eval_plan/task_manifests/moe_30b_general_code_route_aware_smoke_task_manifest.json,results/qwen_source_discovery_eval_plan/vllm_eval/moe_30b_general_code_route_aware
moe_30b_general_code_route_aware,moe_30b_general_code_route_aware,3,Qwen/Qwen3-Coder-30B-A3B-Instruct,False,False,"mmlu,gsm8k,humaneval_compile,safety",results/qwen_source_discovery_eval_plan/task_manifests/moe_30b_general_code_route_aware_task_manifest.json,results/qwen_source_discovery_eval_plan/task_manifests/moe_30b_general_code_route_aware_smoke_task_manifest.json,results/qwen_source_discovery_eval_plan/vllm_eval/moe_30b_general_code_route_aware
dense_32b_reasoning_long_reasoning,dense_32b_reasoning_long_reasoning,4,Qwen/Qwen2.5-32B,False,False,"mmlu,gsm8k,humaneval_compile,safety",results/qwen_source_discovery_eval_plan/task_manifests/dense_32b_reasoning_long_reasoning_task_manifest.json,results/qwen_source_discovery_eval_plan/task_manifests/dense_32b_reasoning_long_reasoning_smoke_task_manifest.json,results/qwen_source_discovery_eval_plan/vllm_eval/dense_32b_reasoning_long_reasoning
