domain,mechanism,bound_type,measured_value,allowed_value,candidate_value,margin_to_bound,candidate_over_bound,status,action,evidence
dense,local_quadratic_trust_radius,lambda_bound_from_actual_over_predicted_curvature,42.8604013656617,0.34155204135935996,1.0,-0.65844795864064,2.927811515984651,reject_linear_task_vector_average,Search a held-out coefficient family and allow endpoint/anchor fallback.,"actual/predicted curvature ratios general/code = 42.8604/26.6575; using ratio limit 5.0000, the derived full-task-vector lambda bound is 0.3416."
dense,heldout_lambda_frontier,max_uniform_lambda_not_worse_than_endpoint,6.039756754956215,0.0,1.0,-1.0,,reject_uniform_linear_lambda,Use the observed best lambda config instead of fixed 0.5/0.5 averaging.,linear worst NLL = 6.0398; best lambda-family worst NLL = 3.0727; best endpoint worst NLL = 3.1737; max accepted uniform lambda = 0.0000.
dense,sparse_sign_trust_radius,max_sign_resolved_lambda_not_worse_than_endpoint,,,1.0,,,keep_sparse_methods_conditional,Treat sign/sparsity conflict as an ablation until it beats endpoint and anchor gates.,max accepted sign-resolved lambda = n/a under endpoint worst NLL 3.1737.
moe,qwen3_instruct_coder_source_line,interior_path_must_beat_endpoint_frontier,0.11892671273424771,0.0,0.11892671273424771,-0.11892671273424771,,reject_source_to_source_linear_average,"Use route/evidence/geometry/subspace constrained same-shape expert rules, not source midpoint.",best interior worst NLL = 2.5947; best endpoint worst NLL = 2.4757; interior gap = 0.1189; accepted interior count = 0.
moe,qwen3_base_coder_source_line,base_to_specialist_delta_must_beat_endpoint_frontier,0.10575581968220238,0.0,0.10575581968220238,-0.10575581968220238,,reject_base_to_specialist_source_line,Do not assume base-anchored source deltas are safe without the same path gate.,best interior worst NLL = 2.4661; best endpoint worst NLL = 2.3603; interior gap = 0.1058; accepted interior count = 0.
moe,qwen3_specialist_complementarity,complementary_pair_merge_must_beat_best_source,0.0,0.0,0.0,0.0,,do_not_assume_complementarity_is_averageable,"Keep specialist complementarity as an eval hypothesis, not as an average acceptance rule.",best merge avg NLL = 0.5659; best source avg NLL = 0.5659; best merge t = 0.0000; merge beats both sources = False.
moe,router_topk_margin,router_lambda_bound_from_min_safe_margin,0.019725152295719042,0.019725152295719042,0.5,-0.48027484770428097,25.34834674551614,reject_direct_router_average,Freeze router for expert candidates; only allow separately audited route-KD deltas.,min safe-lambda proxy = 0.0197; direct midpoint router lambda = 0.5000; high-fragility layers = 24/48.
moe,unified_routed_expert_cap,predicted_relative_delta_hard_cap,0.6438448490662683,0.65,0.6438448490662683,0.006155150933731757,0.990530537025028,expert_delta_cap_passed,Keep the unified mechanism candidate provisional until downstream source-dominance gates pass.,candidate subspace_cap_s1.00 max predicted relative delta = 0.6438; hard cap = 0.6500; retention = 0.9763; routed >0.65 groups = 0.
moe,mechanistic_scale_law_cap,effective_hard_cap_after_materialization_margin,0.649,0.649,0.649,0.0,1.0,mechanistic_cap_and_retention_passed,"Use as a structural-frontier candidate, but do not override a statistically separated downstream leader.",candidate s0.08_b1.65_h0.75_i0.75 max predicted relative delta = 0.6490; effective cap = 0.6490; route-mass retention = 0.9650; min retention = 0.9650.
moe,router_calibration_acceptance,router_calibration_needs_matched_baseline_eval,0.22142744874642561,4.0,0.0,4.0,0.0,router_calibration_promising_but_unaccepted,Run matched frozen-router baseline/source/candidate vLLM eval before attaching router deltas.,router-cal worst-NLL reduction vs linear = 0.2214; eligible router-cal candidates = 0/4; confidence-positive generation tasks = 0/3.
moe,final_average_acceptance,audited_downstream_source_dominance_gate,0.0,10.0,0.0,10.0,0.0,awaiting_matched_vllm_eval,Accept no average until source endpoints and same-shape candidates pass locked-manifest eval bundle audit.,final selector status = awaiting_source_eval; eligible candidates = 0/10; reason = Both Qwen3 source endpoints must complete audited vLLM eval before final candidate selection..
