method_family,current_gate,violated_or_required_invariants,why,use_if,same_shape_output,global_default_accept_count,router_status
Uniform / linear average,reject_as_default,endpoint_frontier;fixed_midpoint_safety,Current Dense and Qwen3 MoE midpoint/path evidence is dominated by source endpoints.,Only if the midpoint itself passes endpoint-frontier and downstream gates.,True,0,reject_router_movement
Model soups / greedy soup,conditional,endpoint_frontier;matched_downstream_dominance,"Soup logic is valid inside one low-error basin, but current source paths are not proven to be in that basin.",Greedy validation includes endpoints and rejects any candidate that hurts the frontier.,True,0,reject_router_movement
Task arithmetic / coefficient search,conditional_endpoint_fallback,endpoint_frontier;fixed_midpoint_safety,Coefficient search may find an anchor/base fallback while the raw average remains unsafe.,Search over layer/module/expert coefficients and permit endpoint or anchor selection.,True,0,reject_router_movement
TIES / DARE / DELLA / STAR,conditional_no_router_blindness,router_stability;expert_internal_geometry;routed_delta_trust_region,"Coordinate conflict methods do not solve MoE dispatch, expert identity, or route-load risk by themselves.","Apply after expert identity/remap, with router frozen/calibrated and routed delta caps.",True,0,reject_router_movement
Fisher / RegMean / RegMean++,conditional_not_sufficient,local_quadratic_validity;matched_downstream_dominance,Local or layerwise regression arguments can underestimate nonlocal merge barriers.,"Use as a feature or tensor rule, then validate on held-out NLL and downstream eval.",True,0,reject_router_movement
WEMoE / dynamic MoE upscaling,disallowed_as_final_output,same_shape_contract,Dynamic expert modules can reduce interference but change the model structure requested here.,"Use as an upper bound or teacher, then distill/compress back into same-shape rules.",False,0,reject_router_movement
Expert Merging++ / layer chunking,active_structural_candidate,expert_internal_geometry;routed_delta_trust_region;matched_downstream_dominance,Current Qwen3 geometry shows layer/expert heterogeneity; layer/chunk coefficients directly target it.,Keep same-shape tensor rules and require final vLLM source-frontier dominance.,True,0,reject_router_movement
Sub-MoE / expert-output clustering,probe_only_under_same_shape_contract,same_shape_contract;expert_identity_alignment,"Expert compression can change expert count, but output similarity is useful as a probe.",Use output/subspace similarity to decide remaps or caps without changing tensor topology.,False,0,reject_router_movement
HARC / router-only calibration,active_separate_intervention,router_stability;matched_downstream_dominance,Router-only NLL probe improves linear MoE but still does not dominate the best source.,"Train/calibrate router deltas under caps, audit them, then evaluate with source endpoints.",True,0,reject_router_movement
Unified same-shape mechanism optimizer,structurally_ready_awaiting_eval,matched_downstream_dominance,"It satisfies same-shape, identity, frozen-router, geometry, and delta-cap gates, but final acceptance is still downstream.",Accept only after eval-bundle audit and final selector beat source frontier.,True,0,reject_router_movement
