hypothesis_id,domain,current_status,mechanism,current_evidence,falsification_test,action_if_supported,action_if_falsified,next_command,literature_keys
dense_same_basin_required,dense,rejected_for_current_midpoint,"Dense weight averaging is useful only when the straight path stays inside a low-loss basin; local Fisher/RegMean curvature is a proxy, not proof.",curvature ratios general/code = 42.8604/26.6575; midpoint worst NLL = 6.0398; best lambda-family worst NLL = 3.0727,A lambda/path sweep plus held-out generation eval must show an interior same-shape checkpoint beating the endpoint frontier on worst-task score.,allow a low-loss dense soup/task-vector point,fall back to endpoint/anchor or keep the current probe-selected low-lambda bridge,python scripts/fp_dense_lambda.py --out results/fp_dense_lambda,"mode_connectivity,model_soups,fisher_merging,regmean++"
dense_coordinate_conflict_is_diagnostic_not_default,dense,conditional_only,"Sign/magnitude conflict can identify harmful deltas, but a broad sparse rule can delete useful adaptation unless it wins a held-out gate.",linear worst NLL = 8.9477; unified worst NLL = 5.1830; best endpoint worst NLL = 5.1510,A TIES/DARE/DELLA-style materialization must improve worst-task score over the current anchor without endpoint domination.,emit sparse coordinate tensor rules for dense deltas,keep conflict probes as diagnostics and do not sparsify by default,python scripts/fp_merge_compare.py --help,"ties,dare,della,star"
moe_expert_gauge_alignment_precedes_average,moe,alignment_required,MoE expert index is a gauge; same-name expert averaging is invalid until expert identity has been canonicalized.,real same-name degradation = 5.4910; aligned degradation = 0.0000; Qwen3 identity fraction = 1.0000,"Expert output cosine/route coactivation must show same-index experts are functionally matched, or a remap must recover the self-merge baseline.",average matched experts under source tensor aliases,reject same-name expert average and require layer-wise expert remapping,python scripts/fp_moe_barrier.py --help,"git_rebasin,sub_moe,mergeme"
moe_direct_router_average_crosses_topk_boundaries,moe,direct_router_average_rejected,A small router weight delta can change sparse top-k dispatch if it exceeds the observed logit margin.,router action = freeze_router; high-fragility layers = 24/48; min safe-lambda proxy = 0.0197,A router-moving candidate must preserve top-k overlap/load and beat the frozen-router candidate under the same downstream manifest.,allow a capped route-KD router delta,freeze router and move only expert tensors,results/qwen3_moe_router_calibration_job/run_router_calibration_job.sh preflight,"harc,router_calibration,mergeme"
moe_direct_router_boundary_shrink_is_not_default,moe,direct_shrink_ablation_only,"Router-boundary fragility is a useful interference feature, but a direct extra shrink term must buy enough proxy reduction without violating non-base retention.",frontier gate = direct_router_boundary_term_not_default; default-gate candidates = 146/770; effect fraction = 0.0103; constrained reduction = 0.00001165; stress reduction = 0.001135,"A direct router-boundary shrink must pass retention/hard-cap gates and achieve a material fraction of the aggressive ablation effect, then beat the B/H/I-only default under the locked downstream manifest.",keep router fragility inside B/H/I and leave direct shrink as ablation,promote a retention-safe direct router-boundary shrink term into the expert scale objective,python scripts/analyze_qwen3_moe_router_coupled_retention_frontier.py --output-dir results/qwen3_moe_router_coupled_retention_frontier,"harc,router_kd_calibration,expert_merging"
moe_source_to_source_line_not_averageable,moe,straight_line_rejected,MoE endpoint specialization does not imply the source-to-source line is a low-loss or source-dominant path.,Instruct/Coder interior gap = 0.1189; Base/Coder interior gap = 0.1058; complementary merge beats sources = False,A straight-line or 2D plane sweep must find an interior point that beats both source endpoints on the paired downstream frontier.,allow source-to-source interpolation for this pair,use router/evidence/geometry-constrained same-shape expert rules,python scripts/fp_moe_barrier.py --out results/fp_moe_barrier,"mode_connectivity,loss_landscape,model_soups"
moe_risk_weighted_expert_caps_preserve_useful_route_mass,moe,structurally_passed_waiting_downstream_eval,"Routed expert movement should be capped by route mass, geometry, and subspace conflict while retaining non-base specialization.",candidate = subspace_cap_s1.00; retention = 0.9763; subspace-weighted rel-delta = 0.2148; routed >0.65 = 0,Budgeted vLLM eval must show the unified candidate is non-dominated by both sources and does not regress any task beyond tolerance.,promote unified mechanism candidate as the same-shape MoE default,select endpoint or simpler searched_no_gt065/layer_chunk rule and inspect failed transition attribution,results/qwen3_moe_eval_budget_plan/run_eval_budget.sh final,"expert_merging,sub_moe,regmean++,output_space_projection"
router_calibration_repairs_dispatch_but_is_not_acceptance,moe,promising_but_unaccepted,"Router calibration can repair part of dispatch interference, but it is not a valid final average unless it beats source and task gates.",NLL worst reduction = 0.2214; generation avg gain = 0.0333; confident positive tasks = 0/3; source-frontier wins = 0/3,Router-calibrated candidates must beat the frozen-router baseline under paired source controls and maintain router-only audit caps.,attach a capped router delta after the expert-rule candidate,keep router frozen and treat router-cal as a diagnostic repair signal,results/qwen3_moe_router_calibration_job/run_router_calibration_job.sh all,"harc,router_kd_calibration"
downstream_source_dominance_is_final_gate,dense_and_moe,awaiting_source_eval,"Structural probes can explain risk, but a same-shape average is only useful if it survives source dominance and task-regression tests.",final selection status = awaiting_source_eval; eligible candidates = 0/11; router calibration status = awaiting_baseline_eval,All candidates and sources must be scored on the locked manifest; dominated averages are rejected even if their structural audit looks clean.,select the best non-dominated same-shape candidate,return the source endpoint and use failed mechanism attribution to design the next candidate,python scripts/select_qwen3_moe_unified_result.py,"model_soups,expert_merging,harc"
moe_structural_tiebreak_requires_statistical_equivalence,moe,policy_ready_waiting_eval,"MoE structural probes should explain and break ties among statistically indistinguishable candidates, not override a downstream winner with separated confidence intervals.",confidence tie band = True; rank mode = None; point leader = None; rank band size = 0; structural-frontier eligible = 0,"Selector smoke and locked-manifest eval must show that structural frontier/safety affects rank only inside a confidence-overlap band; if intervals separate, the point leader wins.",use structural frontier and safety as tie-breakers inside the eligible confidence band,fall back to pure downstream point estimate or require larger eval budget before ranking structural variants,python scripts/select_qwen3_moe_final_candidate.py --smoke-matrix --output-dir results/qwen3_moe_final_candidate_selection_smoke,"model_soups,mode_connectivity,sub_moe"
