phase,priority,role,model_id,model_family,architecture,scale,source_type,merge_role,scenario,topology_action,eval_focus,probe_focus,materialization_status,source_url,evidence_note
dense_7b,p0,general_instruction_anchor,Qwen/Qwen2.5-7B-Instruct,Qwen2.5,dense_qwen2,7B,official_posttrained,anchor,dense_7b_general_code_math_reasoning,inspect_config_tokenizer_safetensors_header,"MMLU/C-Eval/CMMLU, IFEval, safety/refusal, general chat format",anchor-to-expert lambda paths; general_retention baseline,ready_for_topology_inspect,https://huggingface.co/Qwen/Qwen2.5-7B-Instruct,"Official instruction-tuned Qwen2.5 7B; model card reports Qwen2.5 architecture, Apache-2.0 license, 28 layers, and large downstream adapter/finetune tree."
dense_7b,p0,code_expert,Qwen/Qwen2.5-Coder-7B-Instruct,Qwen2.5-Coder,dense_qwen2,7B,official_specialist,expert,dense_7b_general_code_math_reasoning,inspect_config_tokenizer_safetensors_header,"HumanEval, MBPP, LiveCodeBench slice, code NLL, code format/test failure type","code-task delta norm, sign conflict, code/general barrier",ready_for_topology_inspect,https://huggingface.co/Qwen/Qwen2.5-Coder-7B-Instruct,"Official code-specific Qwen2.5 branch; model card emphasizes code generation, code reasoning, and code fixing."
dense_7b,p0,math_expert,Qwen/Qwen2.5-Math-7B-Instruct,Qwen2.5-Math,dense_qwen2,7B,official_specialist,expert,dense_7b_general_code_math_reasoning,inspect_config_tokenizer_safetensors_header,"GSM8K, MATH-500, AIME slice, answer NLL, CoT/TIR format","math-task delta norm, math/code barrier, CoT length/format drift",ready_for_topology_inspect,https://huggingface.co/Qwen/Qwen2.5-Math-7B-Instruct,Official math-specific Qwen2.5 branch; model card says the series targets Chinese/English math with CoT and tool-integrated reasoning.
dense_7b,p0,reasoning_distill_expert,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,DeepSeek-R1-Distill-Qwen,dense_qwen2,7B,third_party_distill,downstream_expert,dense_7b_general_code_math_reasoning,inspect_config_tokenizer_safetensors_header,"MATH-500, GPQA slice, long CoT behavior, GSM8K, instruction/safety retention","reasoning-vs-math delta cosine, CoT style drift, endpoint KL",ready_for_topology_inspect,https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Third-party distilled Qwen branch; DeepSeek model card maps the 7B distill model to Qwen2.5-Math-7B.
dense_7b,p1,domain_finance_expert,DianJin-R1-7B,DianJin-R1,dense_qwen2,7B,paper_downstream_finetune,optional_downstream_expert,dense_7b_domain_extension,resolve_public_weight_id_then_inspect_topology,"CFLUE, FinQA, CCC, finance compliance format, general retention","domain/general barrier, domain held-in retention, safety/refusal drift",manual_weight_id_resolution_required,https://arxiv.org/abs/2504.15716,Paper reports DianJin-R1-7B is fine-tuned from Qwen2.5-7B-Instruct; exact public checkpoint ID should be verified before use.
dense_7b,p1,user_lab_adapter_pool,hf_tree:Qwen/Qwen2.5-7B-Instruct,Qwen2.5 downstream ecosystem,dense_qwen2_or_adapter,7B,downstream_adapter_finetune_pool,candidate_pool,dense_7b_domain_extension,select_same-shape_full_or_adapter_candidates_only,task-specific held-in benchmark chosen by candidate domain,"adapter/full-delta norm, tokenizer/chat-template compatibility, endpoint quality gate",manual_candidate_selection_required,https://huggingface.co/Qwen/Qwen2.5-7B-Instruct,"Model tree exposes many adapters, finetunes, and merges; choose concrete same-shape candidates rather than treating the pool itself as a model."
dense_32b,p0,base_anchor,Qwen/Qwen2.5-32B,Qwen2.5,dense_qwen2,32B,official_base,base_or_delta_reference,dense_32b_reasoning_long_reasoning,inspect_config_tokenizer_safetensors_header,"base NLL, MMLU/C-Eval/CMMLU, downstream delta reference",task vectors relative to base; topology compatibility for 32B branches,ready_for_topology_inspect,https://huggingface.co/Qwen/Qwen2.5-32B,Official Qwen2.5 32B base; model card reports 64 layers and recommends post-training for conversation use.
dense_32b,p0,general_instruction_anchor,Qwen/Qwen2.5-32B-Instruct,Qwen2.5,dense_qwen2,32B,official_posttrained,anchor,dense_32b_reasoning_long_reasoning,inspect_config_tokenizer_safetensors_header,"general instruction, safety/refusal, format retention",general_retention baseline; 32B endpoint compatibility,ready_for_topology_inspect,https://huggingface.co/Qwen/Qwen2.5-32B-Instruct,Official 32B instruction anchor for 32B downstream reasoning branches.
dense_32b,p0,reasoning_rl_expert,a-m-team/AM-Thinking-v1,AM-Thinking,dense_qwen2,32B,third_party_sft_rl,downstream_expert,dense_32b_reasoning_long_reasoning,inspect_config_tokenizer_safetensors_header,"AIME, MATH-500, GPQA, LiveCodeBench, long reasoning format","reasoning delta direction, RL-style format drift, code/math co-retention",ready_for_topology_inspect,https://huggingface.co/a-m-team/AM-Thinking-v1,Model card says AM-Thinking-v1 is built on Qwen2.5-32B-Base with SFT and two-stage RL.
dense_32b,p0,reasoning_distill_expert,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,DeepSeek-R1-Distill-Qwen,dense_qwen2,32B,third_party_distill,downstream_expert,dense_32b_reasoning_long_reasoning,inspect_config_tokenizer_safetensors_header,"AIME, MATH-500, GPQA, CoT length, general/safety retention","distill-vs-RL reasoning delta conflict, endpoint KL, barrier",ready_for_topology_inspect,https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,DeepSeek model card maps the 32B distill model to Qwen2.5-32B.
dense_32b,p1,long_reasoning_expert,Long1K-32B,Long1K,dense_qwen2,32B,paper_downstream_finetune,optional_downstream_expert,dense_32b_reasoning_long_reasoning,resolve_public_weight_id_then_inspect_topology,"long CoT, MATH, GPQA, answer-length and format stability","chain length drift, long-vs-short reasoning barrier, held-in retention",manual_weight_id_resolution_required,https://arxiv.org/abs/2503.18069,Paper reports Long1K-32B is fine-tuned from Qwen2.5-32B-Instruct and says model/code/data are open-sourced; verify exact weight ID before use.
dense_32b,p1,domain_finance_expert,DianJin-R1-32B,DianJin-R1,dense_qwen2,32B,paper_downstream_finetune,optional_downstream_expert,dense_32b_domain_extension,resolve_public_weight_id_then_inspect_topology,"CFLUE, FinQA, CCC, finance reasoning format, general retention","domain/reasoning conflict, safety/compliance retention, barrier",manual_weight_id_resolution_required,https://arxiv.org/abs/2504.15716,Paper reports DianJin-R1-32B is fine-tuned from Qwen2.5-32B-Instruct; exact public checkpoint ID should be verified before use.
