source_set,source_set_key,optimizer_gate,task,frontier_source,tied_frontier_sources,frontier_score,best_single_avg_source,best_single_task_score,frontier_gain_vs_best_single,interference_budget,task_surplus_vs_interference,observed_merge,observed_variant,observed_gap_to_frontier,observed_task_score,source_weight_for_frontier_source,status,recommended_action
base+coder,base+coder,reject_source_dominated,mmlu,base,"[""base"", ""coder""]",0.7666666666666667,coder,0.7666666666666667,0.0,0.0694444444444443,-0.0694444444444443,,,,,0.16666666666666666,no_task_frontier_gain,do_not_use_this_task_as_average_evidence
base+coder,base+coder,reject_source_dominated,gsm8k,coder,"[""coder""]",0.9,coder,0.9,0.0,0.0694444444444443,-0.0694444444444443,,,,,0.8333333333333334,no_task_frontier_gain,do_not_use_this_task_as_average_evidence
base+coder,base+coder,reject_source_dominated,humaneval,coder,"[""coder""]",0.95,coder,0.95,0.0,0.0694444444444443,-0.0694444444444443,,,,,0.8333333333333334,no_task_frontier_gain,do_not_use_this_task_as_average_evidence
base+instruct+coder,base+coder+instruct,reject_source_dominated,mmlu,instruct,"[""instruct""]",0.8416666666666667,instruct,0.8416666666666667,0.0,0.0694444444444443,-0.0694444444444443,,,,,0.6666666666666666,no_task_frontier_gain,do_not_use_this_task_as_average_evidence
base+instruct+coder,base+coder+instruct,reject_source_dominated,gsm8k,instruct,"[""instruct"", ""coder""]",0.9,instruct,0.9,0.0,0.0694444444444443,-0.0694444444444443,,,,,0.6666666666666666,no_task_frontier_gain,do_not_use_this_task_as_average_evidence
base+instruct+coder,base+coder+instruct,reject_source_dominated,humaneval,instruct,"[""instruct"", ""coder""]",0.95,instruct,0.95,0.0,0.0694444444444443,-0.0694444444444443,,,,,0.6666666666666666,no_task_frontier_gain,do_not_use_this_task_as_average_evidence
base+instruct+coder+thinking,base+coder+instruct+thinking,reject_source_dominated,mmlu,instruct,"[""instruct""]",0.8416666666666667,instruct,0.8416666666666667,0.0,0.0694444444444443,-0.0694444444444443,,,,,0.6666666666666666,no_task_frontier_gain,do_not_use_this_task_as_average_evidence
base+instruct+coder+thinking,base+coder+instruct+thinking,reject_source_dominated,gsm8k,instruct,"[""instruct"", ""coder""]",0.9,instruct,0.9,0.0,0.0694444444444443,-0.0694444444444443,,,,,0.6666666666666666,no_task_frontier_gain,do_not_use_this_task_as_average_evidence
base+instruct+coder+thinking,base+coder+instruct+thinking,reject_source_dominated,humaneval,instruct,"[""instruct"", ""coder""]",0.95,instruct,0.95,0.0,0.0694444444444443,-0.0694444444444443,,,,,0.6666666666666666,no_task_frontier_gain,do_not_use_this_task_as_average_evidence
base+coder+thinking,base+coder+thinking,probe_only_below_interference_budget,mmlu,thinking,"[""thinking""]",0.7916666666666666,coder,0.7666666666666667,0.02499999999999991,0.0694444444444443,-0.044444444444444384,,,,,0.3333333333333333,gain_below_interference_budget,expand_endpoint_eval_or_find_stronger_source_for_this_task
base+coder+thinking,base+coder+thinking,probe_only_below_interference_budget,gsm8k,coder,"[""coder""]",0.9,coder,0.9,0.0,0.0694444444444443,-0.0694444444444443,,,,,0.6666666666666666,no_task_frontier_gain,do_not_use_this_task_as_average_evidence
base+coder+thinking,base+coder+thinking,probe_only_below_interference_budget,humaneval,coder,"[""coder""]",0.95,coder,0.95,0.0,0.0694444444444443,-0.0694444444444443,,,,,0.6666666666666666,no_task_frontier_gain,do_not_use_this_task_as_average_evidence
base+instruct,base+instruct,reject_source_dominated,mmlu,instruct,"[""instruct""]",0.8416666666666667,instruct,0.8416666666666667,0.0,0.0694444444444443,-0.0694444444444443,,,,,1.0,no_task_frontier_gain,do_not_use_this_task_as_average_evidence
base+instruct,base+instruct,reject_source_dominated,gsm8k,instruct,"[""instruct""]",0.9,instruct,0.9,0.0,0.0694444444444443,-0.0694444444444443,,,,,1.0,no_task_frontier_gain,do_not_use_this_task_as_average_evidence
base+instruct,base+instruct,reject_source_dominated,humaneval,instruct,"[""instruct""]",0.95,instruct,0.95,0.0,0.0694444444444443,-0.0694444444444443,,,,,1.0,no_task_frontier_gain,do_not_use_this_task_as_average_evidence
base+instruct+thinking,base+instruct+thinking,reject_source_dominated,mmlu,instruct,"[""instruct""]",0.8416666666666667,instruct,0.8416666666666667,0.0,0.0694444444444443,-0.0694444444444443,,,,,1.0,no_task_frontier_gain,do_not_use_this_task_as_average_evidence
base+instruct+thinking,base+instruct+thinking,reject_source_dominated,gsm8k,instruct,"[""instruct""]",0.9,instruct,0.9,0.0,0.0694444444444443,-0.0694444444444443,,,,,1.0,no_task_frontier_gain,do_not_use_this_task_as_average_evidence
base+instruct+thinking,base+instruct+thinking,reject_source_dominated,humaneval,instruct,"[""instruct""]",0.95,instruct,0.95,0.0,0.0694444444444443,-0.0694444444444443,,,,,1.0,no_task_frontier_gain,do_not_use_this_task_as_average_evidence
base+thinking,base+thinking,reject_source_dominated,mmlu,thinking,"[""thinking""]",0.7916666666666666,thinking,0.7916666666666666,0.0,0.0694444444444443,-0.0694444444444443,,,,,1.0,no_task_frontier_gain,do_not_use_this_task_as_average_evidence
base+thinking,base+thinking,reject_source_dominated,gsm8k,thinking,"[""thinking""]",0.75,thinking,0.75,0.0,0.0694444444444443,-0.0694444444444443,,,,,1.0,no_task_frontier_gain,do_not_use_this_task_as_average_evidence
base+thinking,base+thinking,reject_source_dominated,humaneval,thinking,"[""thinking""]",0.9,thinking,0.9,0.0,0.0694444444444443,-0.0694444444444443,,,,,1.0,no_task_frontier_gain,do_not_use_this_task_as_average_evidence
instruct+coder,coder+instruct,reject_source_dominated,mmlu,instruct,"[""instruct""]",0.8416666666666667,instruct,0.8416666666666667,0.0,0.0694444444444443,-0.0694444444444443,merge_instruct+coder_routercal,router_calibrated,-0.08333333333333337,0.7583333333333333,0.6666666666666666,no_task_frontier_gain,do_not_use_this_task_as_average_evidence
instruct+coder,coder+instruct,reject_source_dominated,gsm8k,instruct,"[""instruct"", ""coder""]",0.9,instruct,0.9,0.0,0.0694444444444443,-0.0694444444444443,merge_instruct+coder_routercal,router_calibrated,-0.050000000000000044,0.85,0.6666666666666666,no_task_frontier_gain,do_not_use_this_task_as_average_evidence
instruct+coder,coder+instruct,reject_source_dominated,humaneval,instruct,"[""instruct"", ""coder""]",0.95,instruct,0.95,0.0,0.0694444444444443,-0.0694444444444443,merge_instruct+coder_routercal,router_calibrated,-0.07499999999999996,0.875,0.6666666666666666,no_task_frontier_gain,do_not_use_this_task_as_average_evidence
instruct+coder+thinking,coder+instruct+thinking,reject_source_dominated,mmlu,instruct,"[""instruct""]",0.8416666666666667,instruct,0.8416666666666667,0.0,0.0694444444444443,-0.0694444444444443,merge_instruct+coder+thinking,naive_average,-0.09166666666666667,0.75,0.6666666666666666,no_task_frontier_gain,do_not_use_this_task_as_average_evidence
