candidate_id,source_set,active_source_set_key,source_weights,router_policy,expert_policy,same_shape_policy,optimizer_gate,recommended_action
qwen3_moe_coder_thinking_frontier_weighted_probe,coder+thinking,coder+thinking,"{""coder"": 0.6666666666666666, ""thinking"": 0.3333333333333333}",freeze_router_to_best_single_or_anchor_until_router_gate_passes,identity_or_aligned_experts_with_task_frontier_source_weights,preserve config tokenizer model class tensor names tensor shapes expert count and router shape,probe_only_below_interference_budget,run_larger_endpoint_eval_and_small_weighted_probe_no_final_acceptance
qwen3_moe_base_coder_thinking_frontier_weighted_probe,base+coder+thinking,coder+thinking,"{""base"": 0.0, ""coder"": 0.6666666666666666, ""thinking"": 0.3333333333333333}",freeze_router_to_best_single_or_anchor_until_router_gate_passes,identity_or_aligned_experts_with_task_frontier_source_weights,preserve config tokenizer model class tensor names tensor shapes expert count and router shape,probe_only_below_interference_budget,run_larger_endpoint_eval_and_small_weighted_probe_no_final_acceptance; drop_zero_vote_sources_or_keep_as_anchor_only
qwen3_moe_base_instruct_frontier_weighted_probe,base+instruct,instruct,"{""base"": 0.0, ""instruct"": 1.0}",freeze_router_to_best_single_or_anchor_until_router_gate_passes,identity_or_aligned_experts_with_task_frontier_source_weights,preserve config tokenizer model class tensor names tensor shapes expert count and router shape,reject_source_dominated,do_not_materialize_except_negative_control; drop_zero_vote_sources_or_keep_as_anchor_only
qwen3_moe_base_coder_frontier_weighted_probe,base+coder,base+coder,"{""base"": 0.16666666666666666, ""coder"": 0.8333333333333334}",freeze_router_to_best_single_or_anchor_until_router_gate_passes,identity_or_aligned_experts_with_task_frontier_source_weights,preserve config tokenizer model class tensor names tensor shapes expert count and router shape,reject_source_dominated,do_not_materialize_except_negative_control
qwen3_moe_base_thinking_frontier_weighted_probe,base+thinking,thinking,"{""base"": 0.0, ""thinking"": 1.0}",freeze_router_to_best_single_or_anchor_until_router_gate_passes,identity_or_aligned_experts_with_task_frontier_source_weights,preserve config tokenizer model class tensor names tensor shapes expert count and router shape,reject_source_dominated,do_not_materialize_except_negative_control; drop_zero_vote_sources_or_keep_as_anchor_only
qwen3_moe_instruct_thinking_frontier_weighted_probe,instruct+thinking,instruct,"{""instruct"": 1.0, ""thinking"": 0.0}",freeze_router_to_best_single_or_anchor_until_router_gate_passes,identity_or_aligned_experts_with_task_frontier_source_weights,preserve config tokenizer model class tensor names tensor shapes expert count and router shape,reject_source_dominated,do_not_materialize_except_negative_control; drop_zero_vote_sources_or_keep_as_anchor_only
qwen3_moe_base_coder_instruct_frontier_weighted_probe,base+instruct+coder,coder+instruct,"{""base"": 0.0, ""coder"": 0.3333333333333333, ""instruct"": 0.6666666666666666}",freeze_router_to_best_single_or_anchor_until_router_gate_passes,identity_or_aligned_experts_with_task_frontier_source_weights,preserve config tokenizer model class tensor names tensor shapes expert count and router shape,reject_source_dominated,do_not_materialize_except_negative_control; drop_zero_vote_sources_or_keep_as_anchor_only
qwen3_moe_base_instruct_thinking_frontier_weighted_probe,base+instruct+thinking,instruct,"{""base"": 0.0, ""instruct"": 1.0, ""thinking"": 0.0}",freeze_router_to_best_single_or_anchor_until_router_gate_passes,identity_or_aligned_experts_with_task_frontier_source_weights,preserve config tokenizer model class tensor names tensor shapes expert count and router shape,reject_source_dominated,do_not_materialize_except_negative_control; drop_zero_vote_sources_or_keep_as_anchor_only
qwen3_moe_base_coder_instruct_thinking_frontier_weighted_probe,base+instruct+coder+thinking,coder+instruct,"{""base"": 0.0, ""coder"": 0.3333333333333333, ""instruct"": 0.6666666666666666, ""thinking"": 0.0}",freeze_router_to_best_single_or_anchor_until_router_gate_passes,identity_or_aligned_experts_with_task_frontier_source_weights,preserve config tokenizer model class tensor names tensor shapes expert count and router shape,reject_source_dominated,do_not_materialize_except_negative_control; drop_zero_vote_sources_or_keep_as_anchor_only
qwen3_moe_coder_instruct_thinking_frontier_weighted_probe,instruct+coder+thinking,coder+instruct,"{""coder"": 0.3333333333333333, ""instruct"": 0.6666666666666666, ""thinking"": 0.0}",freeze_router_to_best_single_or_anchor_until_router_gate_passes,identity_or_aligned_experts_with_task_frontier_source_weights,preserve config tokenizer model class tensor names tensor shapes expert count and router shape,reject_source_dominated,do_not_materialize_except_negative_control; drop_zero_vote_sources_or_keep_as_anchor_only
qwen3_moe_coder_instruct_frontier_weighted_probe,instruct+coder,coder+instruct,"{""coder"": 0.3333333333333333, ""instruct"": 0.6666666666666666}",freeze_router_to_best_single_or_anchor_until_router_gate_passes,identity_or_aligned_experts_with_task_frontier_source_weights,preserve config tokenizer model class tensor names tensor shapes expert count and router shape,reject_source_dominated,do_not_materialize_except_negative_control
