case,assertion,experiment,expected,actual,passed
awaiting_eval_keeps_provisional,top_experiment,budgeted_qwen3_moe_downstream_eval,budgeted_qwen3_moe_downstream_eval,budgeted_qwen3_moe_downstream_eval,True
awaiting_eval_keeps_provisional,budgeted_qwen3_moe_downstream_eval.status,budgeted_qwen3_moe_downstream_eval,blocked_on_gpu_vllm,blocked_on_gpu_vllm,True
awaiting_eval_keeps_provisional,router_calibration_active_candidates.status,router_calibration_active_candidates,blocked_on_gpu_vllm,blocked_on_gpu_vllm,True
unified_candidate_downstream_win,top_experiment,mechanism_effect_attribution_refresh,mechanism_effect_attribution_refresh,mechanism_effect_attribution_refresh,True
unified_candidate_downstream_win,budgeted_qwen3_moe_downstream_eval.status,budgeted_qwen3_moe_downstream_eval,completed_by_selector,completed_by_selector,True
source_endpoint_dominates,top_experiment,mechanism_effect_attribution_refresh,mechanism_effect_attribution_refresh,mechanism_effect_attribution_refresh,True
source_endpoint_dominates,budgeted_qwen3_moe_downstream_eval.status,budgeted_qwen3_moe_downstream_eval,completed_source_fallback,completed_source_fallback,True
router_calibration_selected,top_experiment,budgeted_qwen3_moe_downstream_eval,budgeted_qwen3_moe_downstream_eval,budgeted_qwen3_moe_downstream_eval,True
router_calibration_selected,router_calibration_active_candidates.status,router_calibration_active_candidates,completed_by_selector,completed_by_selector,True
router_calibration_rejected,top_experiment,budgeted_qwen3_moe_downstream_eval,budgeted_qwen3_moe_downstream_eval,budgeted_qwen3_moe_downstream_eval,True
router_calibration_rejected,router_calibration_active_candidates.status,router_calibration_active_candidates,rejected_by_selector,rejected_by_selector,True
