invariant_id,domain,hard_gate,status,current_value,requirement,failure_mode,algorithm_action,primary_evidence,literature_keys,proof_role
same_shape_contract,dense+moe,True,pass,same_shape=True,"The output checkpoint must keep the input model architecture, tensor names, and config contract.","A method can score well by changing topology, but it is not the requested average target.",Reject topology-expanding methods as final outputs; use them only as upper-bound probes.,results/moe_unified_preflight_qwen3_30b/summary.json,"wemoe,sub_moe",Defines the feasible set.
endpoint_frontier,dense+moe,True,reject_default_average,path_rejected=5/6; frontier_wins=1,A candidate average must beat the best source endpoint frontier on the measured objective.,A smooth-looking line or named method can still be dominated by one source model.,Always include source endpoints and allow endpoint/anchor fallback.,results/average_connectivity_diagnostic/summary.json,"model_soups,git_rebasin",Prevents accepting a dominated merge.
fixed_midpoint_safety,dense+moe,True,reject_default_average,midpoint_rejected=5/6; dense_midpoint_gap=2.9168; qwen3_midpoint_gap=0.4683,The 0.5/0.5 point is a separate candidate and must pass its own frontier check.,Coefficient search may find an anchor fallback while the midpoint remains bad.,Keep uniform average as a negative baseline unless midpoint gap is within tolerance.,results/average_connectivity_diagnostic/path_diagnostics.csv,"model_soups,task_arithmetic",Separates averaging from coefficient/anchor selection.
local_quadratic_validity,dense,False,reject_as_sufficient_gate,Fisher actual/predicted degradation ratios are far above a small local-error regime.,Fisher or RegMean-style local approximations must be calibrated against actual path loss.,A local second-order model underestimates nonlocal midpoint degradation.,"Use local curvature as a feature, not as a proof of merge safety.",results/fp_curvature_law/report.md,fisher_merging,Blocks curvature-only acceptance.
expert_identity_alignment,moe,True,pass,identity_layers=48/48; identity_fraction=1.0000,Routed experts can only be same-name averaged after identity/alignment is established.,Function-preserving expert permutations can make same-name averaging arbitrarily wrong.,Use identity slices for Qwen3; require remap/alignment for other MoEs.,results/moe_unified_preflight_qwen3_30b/summary.json,"git_rebasin,mergeme",Makes expert tensor names meaningful.
router_stability,moe,True,reject_router_movement,allowed_router_layers=0/48; min_top1=0.0690; min_topk_jaccard=0.2422,Direct router weight movement must preserve top-k dispatch over observed route categories.,Small router perturbations change discrete expert assignment and amplify expert mismatch.,Freeze router by default; test router-KD/HARC-style calibration as a separate intervention.,results/qwen3_moe_router_move_gate/summary.json,harc,Prevents routing breakdown.
expert_internal_geometry,moe,False,conditional_geometry_shrink,high_internal=931; high_route_geometry=204; mean_cos=0.3862,A single global expert coefficient is unsafe when expert geometry varies by layer and route mass.,High route+geometry-risk experts dominate regressions under uniform source weights.,Use route/geometry-weighted caps and layer/chunk coefficients.,results/qwen3_moe_expert_geometry_probe/summary.json,"expert_merging,sub_moe",Motivates nonuniform expert coefficients.
routed_delta_trust_region,moe,True,pass,selected_max_predicted_delta=0.6438; groups_gt_hard_cap=0; delta_audit_status=passed,Routed expert deltas must satisfy a hard trust-region cap before vLLM selection.,Large routed expert movement can look useful structurally while causing task regressions.,Only materialize candidates that pass cap and same-shape delta audit.,results/qwen3_moe_unified_mechanism_candidate/summary.json,"ties,della,expert_merging",Bounds structural intervention size.
router_calibration_not_acceptance,moe,False,mechanism_supported_not_sufficient,worst_nll_reduction=0.2214; worst_gap_to_best_source=0.1265,Router-only improvement supports the mechanism but cannot accept the merge without endpoint dominance.,A calibrated average can improve over linear average while still losing to a source.,Queue router-calibrated candidates for matched vLLM evaluation and source-dominance selection.,results/qwen3_moe_router_calibration_nll_probe/summary.json,harc,Distinguishes mechanism evidence from final acceptance.
matched_downstream_dominance,dense+moe,True,awaiting_eval,usable_candidates=0/9; usable_eval_bundles=0/11,"Final acceptance requires matched vLLM eval, no source dominance, no task regression, and paired prediction gates.",Structural probes are not downstream task performance.,Do not claim a unified average wins until source and candidate eval bundles pass audit.,results/qwen3_moe_final_candidate_selection/summary.json,"model_soups,expert_merging,harc",Provides the final measured-regret gate.
